Time (ms),(None) (),Fine In 1 (V)
0,-0.000379,-0.001079
0.088985,-0.000302,-0.001056
0.177969,-0.000345,-0.001065
0.266954,-0.000377,-0.001038
0.355938,-0.000464,-0.001078
0.444923,-0.000378,-0.001086
0.533908,-0.000376,-0.001064
0.622892,-0.000376,-0.00107
0.711877,-0.000259,-0.001069
0.800862,-0.000402,-0.001062
0.889846,-0.000376,-0.001054
0.978831,-0.000498,-0.001079
1.067815,-0.000452,-0.001086
1.1568,-0.000374,-0.00109
1.245785,-0.000309,-0.001075
1.334769,-0.000475,-0.001085
1.423754,-0.00048,-0.001071
1.512738,-0.000376,-0.001026
1.601723,-0.000376,-0.001088
1.690708,-0.000394,-0.001075
1.779692,-0.000258,-0.001088
1.868677,-0.000282,-0.001063
1.957662,-0.000422,-0.001089
2.046646,-0.000313,-0.001076
2.135631,-0.000329,-0.001041
2.224616,-0.000425,-0.001057
2.3136,-0.000407,-0.001047
2.402585,-0.000322,-0.001068
2.49157,-0.000377,-0.001073
2.580554,-0.000361,-0.001063
2.669539,-0.000364,-0.00107
2.758524,-0.000367,-0.001094
2.847509,-0.000369,-0.001066
2.936493,-0.00035,-0.00106
3.025478,-0.000302,-0.001049
3.114463,-0.000313,-0.001032
3.203448,-0.00042,-0.001088
3.292432,-0.000585,-0.001046
3.381417,-0.000377,-0.001065
3.470402,-0.000475,-0.001081
3.559386,-0.000269,-0.001078
3.648371,-0.000486,-0.001067
3.737356,-0.000387,-0.001042
3.826341,-0.000367,-0.001057
3.915325,-0.000375,-0.00107
4.00431,-0.000444,-0.001071
4.093295,-0.000371,-0.001054
4.182279,-0.000372,-0.00107
4.271264,-0.000303,-0.001044
4.360248,-0.000415,-0.00109
4.449233,-0.000254,-0.001058
4.538217,-0.000275,-0.001067
4.627202,-0.000269,-0.001055
4.716186,-0.000376,-0.00106
4.805171,-0.000377,-0.001062
4.894155,-0.00026,-0.001068
4.98314,-0.000259,-0.001062
5.072124,-0.000376,-0.001063
5.161108,-0.000353,-0.001045
5.250093,-0.000325,-0.001076
5.339077,-0.000329,-0.001071
5.428062,-0.000378,-0.001045
5.517046,-0.000252,-0.001076
5.606031,-0.000252,-0.001086
5.695015,-0.000377,-0.001067
5.784,-0.000282,-0.001081
5.872984,-0.000251,-0.001074
5.961969,-0.000358,-0.001069
6.050953,-0.000494,-0.001072
6.139938,-0.00035,-0.001074
6.228922,-0.000344,-0.00107
6.317907,-0.000376,-0.001089
6.406891,-0.000376,-0.00104
6.495876,-0.00046,-0.001052
6.58486,-0.000376,-0.001051
6.673845,-0.000475,-0.001007
6.762829,-0.000461,-0.001016
6.851814,-0.000361,-0.001019
6.940798,-0.000375,-0.001
7.029783,-0.000606,-0.000979
7.118767,-0.000486,-0.000973
7.207752,-0.00021,-0.001005
7.296736,-0.000376,-0.000974
7.385721,-0.000379,-0.000985
7.474705,-0.00042,-0.000968
7.56369,-0.00029,-0.000929
7.652674,-0.000376,-0.000932
7.741659,-0.0004,-0.000932
7.830643,-0.000394,-0.000896
7.919628,-0.000376,-0.000853
8.008613,-0.0005,-0.000831
8.097597,-0.000482,-0.0008
8.186582,-0.000383,-0.000686
8.275566,-0.000356,-0.000612
8.364551,-0.00045,-0.000444
8.453535,-0.000438,-0.000029
8.54252,-0.000376,0.002718
8.631504,-0.000459,0.016571
8.720489,-0.00047,0.042617
8.809473,-0.000422,0.0315
8.898458,-0.000393,0.005312
8.987442,-0.000487,0.000795
9.076427,-0.000365,-0.000311
9.165411,-0.000376,-0.000579
9.254395,-0.000376,-0.000696
9.34338,-0.000475,-0.000781
9.432364,-0.000446,-0.000859
9.521349,-0.000431,-0.000869
9.610333,-0.000452,-0.000927
9.699318,-0.000327,-0.00095
9.788302,-0.000407,-0.000987
9.877287,-0.000376,-0.000979
9.966271,-0.000376,-0.000994
10.055256,-0.000376,-0.001001
10.14424,-0.000376,-0.00101
10.233225,-0.00027,-0.001009
10.322209,-0.000384,-0.001023
10.411194,-0.000263,-0.001054
10.500178,-0.000349,-0.001043
10.589163,-0.000321,-0.001032
10.678147,-0.000408,-0.001031
10.767132,-0.0003,-0.001035
10.856116,-0.000254,-0.001051
10.945101,-0.000478,-0.001064
11.034085,-0.000359,-0.001065
11.12307,-0.000347,-0.001059
11.212054,-0.00049,-0.001071
11.301039,-0.000376,-0.001031
11.390023,-0.000251,-0.001054
11.479008,-0.00037,-0.001079
11.567992,-0.000418,-0.001055
11.656977,-0.000384,-0.001066
11.745961,-0.000452,-0.001057
11.834946,-0.000376,-0.001057
11.92393,-0.000376,-0.001065
12.012915,-0.000455,-0.001058
12.101899,-0.000358,-0.001073
12.190884,-0.000499,-0.001044
12.279868,-0.000489,-0.001074
12.368853,-0.0005,-0.001049
12.457837,-0.000369,-0.001085
12.546822,-0.000276,-0.001051
12.635806,-0.000376,-0.001057
12.724791,-0.000384,-0.001061
12.813775,-0.000376,-0.001056
12.90276,-0.00025,-0.00107
12.991744,-0.000347,-0.001056
13.080729,-0.000399,-0.00108
13.169713,-0.000269,-0.001061
13.258698,-0.000267,-0.001074
13.347682,-0.000364,-0.001051
13.436666,-0.000376,-0.001077
13.525651,-0.000376,-0.001047
13.614635,-0.000489,-0.001045
13.70362,-0.000455,-0.001062
13.792604,-0.000376,-0.00105
13.881589,-0.000231,-0.001033
13.970573,-0.000464,-0.001059
14.059558,-0.000374,-0.001056
14.148542,-0.000376,-0.001068
14.237527,-0.0005,-0.001039
14.326511,-0.000485,-0.001055
14.415496,-0.000376,-0.001045
14.50448,-0.000385,-0.00105
14.593465,-0.000493,-0.001095
14.682449,-0.000375,-0.001072
14.771434,-0.000329,-0.001043
14.860418,-0.000372,-0.001073
14.949403,-0.000225,-0.001061
15.038387,-0.000376,-0.00106
15.127372,-0.000434,-0.001077
15.216356,-0.000176,-0.001077
15.305341,-0.000518,-0.001063
15.394325,-0.000267,-0.001098
15.48331,-0.000364,-0.001079
15.572294,-0.00026,-0.001052
15.661279,-0.000259,-0.001088
15.750263,-0.000401,-0.001064
15.839248,-0.000375,-0.001066
15.928232,-0.000254,-0.001055
16.017218,-0.000408,-0.001041
16.106203,-0.000513,-0.001053
16.195189,-0.000499,-0.00106
16.284174,-0.000353,-0.001084
16.373159,-0.000376,-0.001072
16.462145,-0.000378,-0.001069
16.55113,-0.000353,-0.001055
16.640116,-0.000376,-0.001057
16.729101,-0.000611,-0.00107
16.818087,-0.000283,-0.001077
16.907072,-0.000399,-0.001079
16.996058,-0.000372,-0.001059
17.085043,-0.000449,-0.001068
17.174028,-0.000406,-0.001058
17.263014,-0.000376,-0.00107
17.351999,-0.000452,-0.001055
17.440985,-0.000482,-0.001077
17.52997,-0.000361,-0.001082
17.618956,-0.000376,-0.001075
17.707941,-0.000376,-0.001068
17.796926,-0.000369,-0.001044
17.885912,-0.000495,-0.001033
17.974897,-0.0005,-0.001037
18.063883,-0.000439,-0.001097
18.152868,-0.000379,-0.00107
18.241854,-0.00041,-0.001081
18.330839,-0.000499,-0.001057
18.419825,-0.000477,-0.001088
18.50881,-0.000393,-0.001088
18.597795,-0.000346,-0.001076
18.686781,-0.000376,-0.001091
18.775766,-0.000386,-0.00106
18.864752,-0.000259,-0.001059
18.953737,-0.000314,-0.001072
19.042723,-0.000464,-0.001057
19.131708,-0.000435,-0.001074
19.220694,-0.000373,-0.001039
19.309679,-0.000462,-0.001061
19.398664,-0.000501,-0.00107
19.48765,-0.000399,-0.001073
19.576635,-0.0005,-0.001077
19.665621,-0.000377,-0.001075
19.754606,-0.000602,-0.00108
19.843592,-0.000501,-0.001063
19.932577,-0.000501,-0.001043
20.021563,-0.000376,-0.001075
20.110548,-0.000403,-0.001089
