Freq(Hz),Voltage(dBm)
-285000,-61.33259964
-279430,-61.4508667
-273860,-62.15269852
-268290,-61.91802979
-262720,-58.70589828
-257150,-58.09671402
-251580,-57.92432404
-246010,-58.45055008
-240440,-59.73507309
-234870,-61.11996078
-229300,-62.08877182
-223730,-62.44924164
-218160,-62.74844742
-212590,-64.01857758
-207020,-65.9421463
-201450,-65.62982178
-195880,-61.41189194
-190310,-60.02066803
-184740,-59.17883301
-179170,-58.24611282
-173600,-56.81775284
-168030,-55.23064423
-162460,-53.92036819
-156890,-52.67248154
-151320,-51.91233826
-145750,-51.64847946
-140180,-53.94185257
-134610,-60.45367432
-129040,-48.32960892
-123470,-43.7833786
-117900,-38.6269989
-112330,-32.78811264
-106760,-27.46450233
-101190,-22.66492271
-95620,-17.99467659
-90050,-13.40540504
-84480,-8.987691879
-78910,-4.7560606
-73340,-0.689171612
-67770,3.205913305
-62200,6.909659863
-56630,10.41703987
-51060,13.73912621
-45490,16.91080856
-39920,19.93712234
-34350,22.84739113
-28780,25.69022942
-23210,28.54664421
-17640,31.55088234
-12070,34.97060394
-6500,39.43953705
-930,47.51724243
4640,41.50251007
10210,36.49642944
15780,32.98045731
21350,30.02728653
26920,27.29143524
32490,24.60762215
38060,21.88348389
43630,19.0627594
49200,16.10761833
54770,13.00991821
60340,9.733505249
65910,6.263792992
71480,2.588629246
77050,-1.315053701
82620,-5.436766148
88190,-9.666027069
93760,-13.88829041
99330,-18.28136635
104900,-23.11195946
110470,-28.11941719
116040,-33.32893753
121610,-40.80969238
127180,-46.07745743
132750,-46.82076263
138320,-46.63195801
143890,-51.12539673
149460,-57.34931564
155030,-65.77575684
160600,-60.82923889
166170,-58.60611725
171740,-57.3134613
177310,-57.15710449
182880,-57.47986603
188450,-59.42898178
194020,-63.56155777
199590,-64.51901245
205160,-63.14447021
210730,-63.53506851
216300,-65.60913086
221870,-68.96500397
227440,-70.59732819
233010,-70.71549988
238580,-66.74871063
244150,-67.59825134
249720,-66.96617889
255290,-75.28222656
260860,-70.88593292
266430,-70.16542053
272000,-70.4098587
277570,-72.23203278
283140,-74.00566101
288710,-74.2311554
294280,-74.41613007
299850,-74.83513641
305420,-70.28494263
310990,-67.81153107
316560,-66.67723083
322130,-65.60012054
327700,-63.31225586
333270,-60.78244019
338840,-59.08363724
344410,-58.55878067
349980,-58.68704605
355550,-59.10699081
361120,-59.78292084
366690,-59.89157486
372260,-56.97703934
377830,-55.15054321
383400,-53.99542999
388970,-53.79785919
394540,-53.9491272
400110,-54.86914444
405680,-56.89215088
411250,-59.81613159
416820,-59.54628372
422390,-59.52988052
427960,-54.00447464
433530,-52.34463882
439100,-51.44292831
444670,-50.7683754
450240,-50.15697479
455810,-49.88397598
461380,-49.97118378
466950,-50.20015717
472520,-50.77384567
478090,-51.62852859
483660,-52.63750076
489230,-53.36231613
494800,-53.0908432
500370,-53.03358078
505940,-53.14904785
511510,-53.796772
517080,-55.24267197
522650,-57.31572723
528220,-59.26337814
533790,-60.27555084
539360,-61.17868423
544930,-64.99010468
550500,-62.26998901
556070,-62.09745407
561640,-53.58350372
567210,-51.54642105
572780,-50.89390182
578350,-50.97212219
583920,-51.38382339
589490,-51.25360107
595060,-50.64522171
600630,-50.4807663
606200,-50.56121445
611770,-51.00242615
617340,-52.18069458
622910,-54.43034363
628480,-58.39044571
634050,-62.89484406
639620,-58.95384216
645190,-57.5264473
650760,-57.32909012
656330,-57.20259857
661900,-56.37030792
667470,-54.89675903
673040,-53.26864243
678610,-52.1328125
684180,-51.8943367
689750,-51.98956299
695320,-52.67195511
700890,-53.57767105
706460,-53.52110672
712030,-53.55416489
717600,-51.90969849
723170,-51.46351624
728740,-51.50426102
734310,-51.8562355
739880,-53.2253685
745450,-55.68242264
751020,-58.64042282
756590,-60.96507645
