Frequency(Hz),Voltage(dBm)
-285000,-63.23179626
-279430,-65.49661255
-273860,-69.12633514
-268290,-69.9482193
-262720,-62.74153519
-257150,-59.79843521
-251580,-58.00583267
-246010,-57.20028305
-240440,-56.98587418
-234870,-57.07707977
-229300,-58.08243179
-223730,-60.11909103
-218160,-62.50265121
-212590,-63.24489212
-207020,-63.04056931
-201450,-63.98072052
-195880,-64.27902222
-190310,-63.88448715
-184740,-57.25218201
-179170,-55.54745102
-173600,-55.14299774
-168030,-55.10613251
-162460,-55.21004105
-156890,-54.86089325
-151320,-52.90191269
-145750,-52.8230896
-140180,-51.60859299
-134610,-51.15365219
-129040,-45.6845932
-123470,-42.44525909
-117900,-38.55379486
-112330,-33.18449402
-106760,-27.69061852
-101190,-22.73788071
-95620,-18.04353333
-90050,-13.40683842
-84480,-8.925374031
-78910,-4.680525303
-73340,-0.65173161
-67770,3.205258131
-62200,6.897342682
-56630,10.4078331
-51060,13.72914124
-45490,16.89304924
-39920,19.91158867
-34350,22.81952477
-28780,25.66625023
-23210,28.52577591
-17640,31.53467751
-12070,34.95595551
-6500,39.42566299
-930,47.50336838
4640,41.48786163
10210,36.4825592
15780,32.96736526
21350,30.01496887
26920,27.28300476
32490,24.60385704
38060,21.88827133
43630,19.08231926
49200,16.14816666
54770,13.06834888
60340,9.793491364
65910,6.310562611
71480,2.635398626
77050,-1.218527198
82620,-5.29592514
88190,-9.63092041
93760,-14.14239502
99330,-18.70495605
104900,-23.35751343
110470,-28.37741089
116040,-33.40500641
121610,-38.26496506
127180,-44.523983
132750,-49.13434219
138320,-52.5016098
143890,-57.03547668
149460,-58.12897873
155030,-59.76902771
160600,-64.15195465
166170,-69.32164001
171740,-72.28164673
177310,-72.39429474
182880,-67.66516113
188450,-69.01797485
194020,-68.14141083
199590,-69.83045197
205160,-64.96825409
210730,-64.07761383
216300,-64.27878571
221870,-65.16546631
227440,-67.66387177
233010,-71.04968262
238580,-73.47045135
244150,-73.94215393
249720,-69.73923492
255290,-67.127388
260860,-65.38221741
266430,-64.90737915
272000,-65.0865097
277570,-65.99751282
283140,-67.63041687
288710,-68.56961823
294280,-68.45993805
299850,-68.59594727
305420,-66.85314178
310990,-66.48273468
316560,-66.63356781
322130,-67.55762482
327700,-70.12107086
333270,-72.10515594
338840,-69.29692078
344410,-68.59402466
349980,-68.73007202
355550,-69.95934296
361120,-72.25160217
366690,-72.32993317
372260,-70.9703064
377830,-71.19551086
383400,-72.86877441
388970,-77.25506592
394540,-80.81624603
400110,-80.77999115
405680,-74.38317871
411250,-71.97382355
416820,-70.22215271
422390,-69.51537323
427960,-69.61795044
433530,-70.30602264
439100,-72.27622986
444670,-75.15618896
450240,-77.95548248
455810,-78.43739319
461380,-76.26609039
466950,-75.07154846
472520,-73.39450836
478090,-71.39671326
483660,-69.48091125
489230,-68.01408386
494800,-67.32744598
500370,-67.38991547
505940,-67.88944244
511510,-69.93580627
517080,-74.00561523
522650,-79.6191864
528220,-85.64303589
533790,-86.26802826
539360,-77.24230957
544930,-74.16782379
550500,-72.47005463
556070,-71.75952148
561640,-71.58531952
567210,-71.65124512
572780,-71.81661224
578350,-72.39084625
583920,-73.40040588
589490,-74.36795044
595060,-73.98580933
600630,-74.0258255
606200,-72.92687225
611770,-73.00190735
617340,-73.48513031
622910,-74.92778015
628480,-77.52112579
634050,-81.42144012
639620,-84.95176697
645190,-86.0448761
650760,-83.66676331
656330,-83.59391022
661900,-79.19078064
667470,-80.25639343
673040,-79.27667236
678610,-89.42868805
684180,-82.48234558
689750,-78.7742691
695320,-76.82809448
700890,-76.43468475
706460,-76.52738953
712030,-77.28736877
717600,-78.31267548
723170,-79.01945496
728740,-79.99469757
734310,-81.96611023
739880,-80.33971405
745450,-80.28170776
751020,-76.5287323
756590,-76.33909607
762160,-76.52992249
767730,-77.99217987
773300,-80.72897339
778870,-82.56500244
784440,-82.23535919
790010,-82.29242706
795580,-83.00209045
801150,-85.67869568
806720,-89.73736572
812290,-90.35381317
817860,-86.00889587
823430,-84.49892426
829000,-84.169487
834570,-84.30377197
840140,-86.19313812
845710,-90.32582855
851280,-84.22138977
856850,-81.62675476
862420,-81.18294525
867990,-81.45944977
873560,-84.40612793
879130,-91.05310822
884700,-92.54597473
890270,-92.51233673
895840,-86.27814484
901410,-82.23911285
906980,-79.12646484
912550,-77.5178299
918120,-77.38523102
923690,-77.74908447
929260,-79.93728638
934830,-84.37821198
940400,-90.81297302
945970,-92.16597748
951540,-86.12973785
957110,-84.34117889
962680,-83.88563538
968250,-83.79985046
973820,-83.42298889
979390,-83.22852325
984960,-83.28176117
990530,-83.93644714
996100,-85.51989746
1001670,-87.1450882
1007240,-84.03620148
1012810,-80.98921967
1018380,-78.71007538
1023950,-77.89926147
1029520,-77.94104004
1035090,-79.06941986
1040660,-82.30131531
1046230,-84.78269958
1051800,-83.92775726
1057370,-83.93009186
1062940,-81.75373077
1068510,-80.58081055
1074080,-80.41520691
1079650,-80.73836517
1085220,-83.48538208
1090790,-87.9619751
1096360,-88.00217438
1101930,-87.64717865
1107500,-85.90652466
1113070,-85.85425568
1118640,-83.60155487
1124210,-83.37000275
1129780,-82.61265564
1135350,-80.99754333
1140920,-79.20649719
1146490,-78.00687408
1152060,-77.7290802
1157630,-77.78691864
1163200,-78.47350311
1168770,-80.01040649
1174340,-82.68061066
1179910,-87.78092957
1185480,-90.27577972
1191050,-90.1815033
1196620,-86.6219101
1202190,-86.4230423
