Trace
Swept SA
A.14.10,N9010A
526 B25 EA3 P07 ,01
Segment,0
Number of Points,1001
Sweep Time,0.0026
Start Frequency,-285000
Stop Frequency,5285000
Average Count,1
Average Type,LogPower(Video)
RBW,51000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,51000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Normal
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
-285000,-56.9056587219238
-279430,-60.433837890625
-273860,-62.2116622924805
-268290,-63.6213073730469
-262720,-64.7434768676758
-257150,-66.0997009277344
-251580,-68.6219635009766
-246010,-69.9411926269531
-240440,-64.5504989624023
-234870,-63.6162414550781
-229300,-63.5386009216309
-223730,-65.5185089111328
-218160,-64.7269439697266
-212590,-64.4406127929688
-207020,-63.5894508361816
-201450,-64.686653137207
-195880,-62.607494354248
-190310,-62.2277336120605
-184740,-56.9590835571289
-179170,-55.9742736816406
-173600,-55.732307434082
-168030,-57.1733818054199
-162460,-61.4833106994629
-156890,-62.5600128173828
-151320,-56.587043762207
-145750,-56.133487701416
-140180,-51.9273490905762
-134610,-47.1054534912109
-129040,-45.8338623046875
-123470,-46.1389427185059
-117900,-38.4978179931641
-112330,-32.7429008483887
-106760,-27.6214256286621
-101190,-22.8164043426514
-95620,-18.1368274688721
-90050,-13.4946899414063
-84480,-8.9588041305542
-78910,-4.64787197113037
-73340,-0.586425483226776
-67770,3.2651219367981
-62200,6.9346604347229
-56630,10.4233818054199
-51060,13.7345838546753
-45490,16.8969383239746
-39920,19.9185848236084
-34350,22.827299118042
-28780,25.669361114502
-23210,28.5249977111816
-17640,31.5307903289795
-12070,34.9497337341309
-6500,39.420223236084
-930,47.4979286193848
4640,41.4831962585449
10210,36.4771156311035
15780,32.9611434936523
21350,30.0103034973145
26920,27.2791175842285
32490,24.6023025512695
38060,21.8867168426514
43630,19.0714340209961
49200,16.117847442627
54770,13.0147047042847
60340,9.73051738739014
65910,6.25458574295044
71480,2.57786703109741
77050,-1.30249226093292
82620,-5.3697829246521
88190,-9.56950092315674
93760,-13.9083814620972
99330,-18.5510196685791
104900,-23.5821971893311
110470,-28.8073425292969
116040,-33.6638984680176
121610,-37.5738105773926
127180,-42.6448745727539
132750,-52.2628135681152
138320,-51.7505912780762
143890,-52.2976722717285
149460,-53.7729072570801
155030,-54.3610610961914
160600,-54.6763534545898
166170,-54.6744155883789
171740,-54.8666915893555
177310,-55.1394920349121
182880,-55.3611831665039
188450,-55.6395530700684
194020,-56.4811630249023
199590,-58.2596130371094
205160,-60.3859443664551
210730,-61.0393218994141
216300,-57.0173683166504
221870,-55.2521553039551
227440,-54.7355995178223
233010,-55.583797454834
238580,-55.1458702087402
244150,-57.5720901489258
249720,-59.3742256164551
255290,-60.9676284790039
260860,-63.0475234985352
266430,-64.8622817993164
272000,-60.0400619506836
277570,-57.3903274536133
283140,-55.7765884399414
288710,-55.2712745666504
294280,-55.4274826049805
299850,-56.0315246582031
305420,-57.7188415527344
310990,-60.2141304016113
316560,-61.4580612182617
322130,-61.5238075256348
327700,-57.1041679382324
333270,-56.0025367736816
338840,-56.0079116821289
344410,-56.251953125
349980,-56.520938873291
355550,-56.1782035827637
361120,-55.9507331848145
366690,-56.0376167297363
372260,-56.2764320373535
377830,-57.2161178588867
383400,-59.1747055053711
388970,-62.0480728149414
394540,-64.757942199707
400110,-66.1654205322266
405680,-67.3752136230469
411250,-67.7172698974609
416820,-60.8616142272949
422390,-58.7639694213867
427960,-58.6076545715332
433530,-59.1262435913086
439100,-61.6531028747559
444670,-62.4012908935547
450240,-59.1302223205566
455810,-58.3246688842773
461380,-58.2307243347168
466950,-58.351634979248
472520,-58.9198837280273
478090,-60.1485176086426
483660,-62.0266876220703
489230,-64.295524597168
494800,-65.7826461791992
500370,-65.8373413085938
505940,-63.799259185791
511510,-63.6889686584473
517080,-63.890941619873
522650,-65.356803894043
528220,-69.2325439453125
533790,-70.4250793457031
539360,-61.7787590026855
544930,-58.9219589233398
550500,-57.4481010437012
556070,-56.4281425476074
561640,-55.5472297668457
567210,-55.3534889221191
572780,-55.4900856018066
578350,-56.512134552002
583920,-58.0503616333008
589490,-58.3158645629883
595060,-54.2221641540527
600630,-52.1249580383301
606200,-51.0835418701172
611770,-51.5962753295898
617340,-51.1823234558105
622910,-54.2226409912109
628480,-56.9761390686035
634050,-57.2659568786621
639620,-57.3941497802734
645190,-57.6787071228027
650760,-55.6963157653809
656330,-54.3733253479004
661900,-53.1352043151855
667470,-52.422779083252
673040,-52.4607467651367
678610,-53.0539741516113
684180,-55.6073303222656
689750,-60.944149017334
695320,-68.1330490112305
700890,-68.5699615478516
706460,-57.9882354736328
712030,-53.3270263671875
717600,-49.8345527648926
723170,-47.3273429870605
728740,-45.6639099121094
734310,-44.7983894348145
